,well,BHP,Fluid_newest,Fluid_lowest,Fluid_median
1,MPB-30,640,571.2144520161054,664.6375053775965,1298.5583718186263
1,MPB-30,650,567.6793188470485,660.5241954247991,1290.521851110913
1,MPB-30,660,564.1026935046459,656.3626071861707,1282.3910050427808
1,MPB-30,670,560.4845759888975,652.1527406617114,1274.165833614229
1,MPB-30,680,556.8249662998036,647.8945958514212,1265.8463368252583
1,MPB-30,690,553.1238644373636,643.5881727552999,1257.4325146758683
1,MPB-30,700,549.3812704015781,639.2334713733478,1248.9243671660593
1,MPB-30,710,545.5971841924468,634.8304917055647,1240.321894295831
1,MPB-30,720,541.7716058099699,630.3792337519507,1231.6250960651837
1,MPB-30,730,537.904535254147,625.8796975125056,1222.833972474117
1,MPB-30,740,533.9959725249786,621.3318829872296,1213.9485235226311
1,MPB-30,750,530.0459176224642,616.7357901761226,1204.9687492107262
1,MPB-30,760,526.0543705466042,612.0914190791847,1195.894649538402
1,MPB-30,770,522.0213312973985,607.3987696964159,1186.7262245056588
1,MPB-30,780,517.9467998748471,602.6578420278161,1177.4634741124964
1,MPB-30,790,513.8307762789499,597.8686360733852,1168.1063983589147
1,MPB-30,800,509.6732605097069,593.0311518331235,1158.6549972449138
1,MPB-30,810,505.47425256711824,588.1453893070309,1149.1092707704938
1,MPB-30,820,501.2337524511838,583.2113484951072,1139.4692189356547
1,MPB-30,830,496.9517601619037,578.2290293973526,1129.7348417403964
1,MPB-30,840,492.6282756992777,573.198432013767,1119.9061391847188
1,MPB-30,850,488.2632990633061,568.1195563443505,1109.9831112686222
1,MPB-30,860,483.85683025398873,562.9924023891031,1099.9657579921065
1,MPB-30,870,479.40886927132556,557.8169701480246,1089.8540793551713
1,MPB-30,880,474.9194161153167,552.5932596211152,1079.648075357817
1,MPB-30,890,470.38847078596217,547.321270808375,1069.3477460000438
1,MPB-30,900,465.8160332832618,542.0010037098036,1058.9530912818511
1,MPB-30,910,461.20210360721575,536.6324583254014,1048.4641112032396
1,MPB-30,920,456.546681757824,531.2156346551682,1037.8808057642088
1,MPB-30,930,451.8497677350863,525.7505326991039,1027.2031749647585
1,MPB-30,940,447.1113615390032,520.237152457209,1016.4312188048897
1,MPB-30,950,442.33146316957414,514.675493929483,1005.5649372846012
1,MPB-30,960,437.51007262679934,509.06555711592586,994.6043304038935
1,MPB-30,970,432.64718991067883,503.4073420165378,983.5493981627668
1,MPB-30,980,427.7428150212127,497.70084863131905,972.4001405612212
1,MPB-30,990,422.7969479584007,491.9460769602691,961.1565575992562
1,MPB-30,1000,417.809588722243,486.1430270033883,949.8186492768718
1,MPB-30,1010,412.7807373127396,480.29169876067647,938.3864155940685
1,MPB-30,1020,407.7103937298904,474.3920922321338,926.8598565508461
1,MPB-30,1030,402.5985579736955,468.4442074177601,915.2389721472043
1,MPB-30,1040,397.4452300441548,462.4480443175554,903.5237623831434
1,MPB-30,1050,392.2504099412684,456.40360293151974,891.7142272586632
1,MPB-30,1060,387.01409766503633,450.3108832596532,879.8103667737641
1,MPB-30,1070,381.73629321545843,444.1698853019557,867.8121809284456
1,MPB-30,1080,376.4169965925348,437.98060905842715,855.7196697227081
1,MPB-30,1090,371.0562077962654,431.7430545290677,843.5328331565513
1,MPB-30,1100,365.65392682665043,425.4572217138774,831.2516712299755
1,MPB-30,1110,360.21015368368955,419.123110612856,818.8761839429804
1,MPB-30,1120,354.72488836738296,412.7407212260037,806.4063712955661
1,MPB-30,1130,349.19813087773065,406.3100535533204,793.8422332877327
1,MPB-30,1140,343.62988121473273,399.8311075948063,781.1837699194804
1,MPB-30,1150,338.02013937838893,393.30388335046115,768.4309811908086
1,MPB-30,1160,332.3689053686994,386.728380820285,755.5838671017175
1,MPB-30,1170,326.6761791856641,380.10460000427787,742.6424276522074
1,MPB-30,1180,320.94196082928323,373.43254090243994,729.6066628422784
1,MPB-30,1190,315.16625029955645,366.7122035147709,716.4765726719298
1,MPB-30,1200,309.34904759648396,359.9435878412709,703.2521571411621
1,MPB-30,1210,303.49035272006574,353.12669388193996,689.9334162499753
1,MPB-30,1220,297.5901656703018,346.2615216367781,676.5203499983694
1,MPB-30,1230,291.64848644719217,339.3480711057854,663.0129583863443
1,MPB-30,1240,285.66531505073675,332.3863422889616,649.4112414139
1,MPB-30,1250,279.64065148093556,325.37633518630685,635.7151990810365
1,MPB-30,1260,273.57449573778865,318.3180497978212,621.9248313877539
1,MPB-30,1270,267.4668478212961,311.2114861235046,608.0401383340522
1,MPB-30,1280,261.3177077314577,304.0566441633569,594.0611199199311
1,MPB-30,1290,255.1270754682736,296.8535239173784,579.9877761453911
1,MPB-30,1300,248.89495103174366,289.6021253855688,565.8201070104316
1,MPB-30,1310,242.6213344218682,282.3024485679285,551.5581125150533
1,MPB-30,1320,236.30622563864682,274.954493464457,537.2017926592556
1,MPB-30,1330,229.94962468207976,267.5582600751547,522.7511474430388
1,MPB-30,1340,223.55153155216695,260.11374840002134,508.20617686640276
1,MPB-30,1350,217.11194624890842,252.62095843905706,493.56688092934763
1,MPB-30,1360,210.63086877230413,245.0798901922618,478.83325963187326
1,MPB-30,1370,204.10829912235414,237.49054365963565,464.0053129739798
1,MPB-30,1380,197.54423729905832,229.8529188411784,449.08304095566695
1,MPB-30,1390,190.93868330241702,222.1670157368905,434.06644357693557
1,MPB-30,1400,184.2916371324298,214.43283434677147,418.95552083778455
1,MPB-30,1410,177.6030987890968,206.6503746708214,403.7502727382143
1,MPB-30,1420,170.87306827241804,198.81963670904037,388.4506992782248
1,MPB-30,1430,164.10154558239373,190.9406204614286,373.05680045781656
1,MPB-30,1440,157.2885307190235,183.01332592798565,357.5685762769888
1,MPB-30,1450,150.43402368230755,175.0377531087118,341.98602673574186
1,MPB-30,1460,143.53802447224587,167.01390200360697,326.30915183407575
1,MPB-30,1470,136.60053308883855,158.94177261267131,310.53795157199073
1,MPB-30,1480,129.62154953208545,150.82136493590465,294.67242594948647
1,MPB-30,1490,122.60107380198652,142.6526789733069,278.7125749665628
1,MPB-30,1500,115.53910589854188,134.43571472487827,262.65839862322
1,MPB-30,1510,108.43564582175148,126.17047219061864,246.509896919458
1,MPB-30,1520,101.29069357161545,117.8569513705282,230.26706985527707
1,MPB-30,1530,94.10424914813366,109.49515226460674,213.92991743067694
1,MPB-30,1540,86.8763125513061,101.0850748728543,197.49843964565753
1,MPB-30,1550,79.60688378113268,92.62671919527078,180.9726365002187
1,MPB-30,1560,72.29596283761389,84.1200852318567,164.35250799436153
1,MPB-30,1570,64.94354972074908,75.56517298261137,147.63805412808455
1,MPB-30,1580,57.549644430538585,66.96198244753514,130.82927490138852
1,MPB-30,1590,50.114246966982314,58.3105136266279,113.92617031427324
1,MPB-30,1600,42.63735733008043,49.61076651988986,96.92874036673906
1,MPB-30,1610,35.11897551983261,40.86274112732063,79.83698505878529
1,MPB-30,1620,27.559101536239183,32.066437448920595,62.65090439041262
1,MPB-30,1630,19.9577353792999,23.22185548468947,45.37049836162053
1,MPB-30,1640,12.314877049015086,14.328995234627625,27.99576697240972
1,MPB-30,1650,4.63052654538434,5.3878566987346,10.526710222779307
2,MPB-32,0,554.50665953294,617.4249856343404,630.1743232122316
2,MPB-32,10,553.145559142585,615.9094449739816,628.6274878360101
2,MPB-32,20,551.6625236668679,614.25813359377,626.9420781819639
2,MPB-32,30,550.0575531057885,612.4710514937054,625.1180942500926
2,MPB-32,40,548.330647459347,610.5481986737879,623.1555360403962
2,MPB-32,50,546.4818067275434,608.4895751340173,621.054403552875
