,well,BHP,Fluid_oldest,Fluid_lowest,Fluid_median
0,MPG-02,450,545.4919089787148,516.8079600110359,597.7495475289951
0,MPG-02,460,545.1212937175532,516.4568330485324,597.3434276562339
0,MPG-02,470,544.7473042421099,516.102509300209,596.933610322471
0,MPG-02,480,544.369940552385,515.7449887660655,596.5200955277066
0,MPG-02,490,543.9892026483782,515.384271446102,596.1028832719406
0,MPG-02,500,543.6050905300899,515.0203573403186,595.681973555173
0,MPG-02,510,543.2176041975199,514.6532464487151,595.2573663774039
0,MPG-02,520,542.8267436506683,514.2829387712916,594.8290617386331
0,MPG-02,530,542.432508889535,513.9094343080482,594.3970596388607
0,MPG-02,540,542.03489991412,513.5327330589848,593.9613600780868
0,MPG-02,550,541.6339167244234,513.1528350241014,593.5219630563113
0,MPG-02,560,541.2295593204452,512.769740203398,593.0788685735342
0,MPG-02,570,540.8218277021853,512.3834485968746,592.6320766297556
0,MPG-02,580,540.4107218696437,511.9939602045311,592.1815872249753
0,MPG-02,590,539.9962418228204,511.6012750263677,591.7274003591934
0,MPG-02,600,539.5783875617155,511.20539306238436,591.26951603241
0,MPG-02,610,539.157159086329,510.8063143125809,590.807934244625
0,MPG-02,620,538.7325563966608,510.40403877695763,590.3426549958385
0,MPG-02,630,538.3045794927109,509.99856645551426,589.8736782860504
0,MPG-02,640,537.8732283744794,509.5898973482509,589.4010041152605
0,MPG-02,650,537.4385030419662,509.17803145516757,588.9246324834694
0,MPG-02,660,537.0004034951713,508.7629687762642,588.4445633906764
0,MPG-02,670,536.5589297340948,508.34470931154084,587.960796836882
0,MPG-02,680,536.1140817587366,507.92325306099747,587.4733328220858
0,MPG-02,690,535.6658595690968,507.49860002463424,586.9821713462883
0,MPG-02,700,535.2142631651753,507.0707502024509,586.4873124094889
0,MPG-02,710,534.7592925469722,506.63970359444755,585.9887560116882
0,MPG-02,720,534.3009477144874,506.20546020062426,585.4865021528858
0,MPG-02,730,533.8392286677209,505.76802002098094,584.9805508330818
0,MPG-02,740,533.3741354066728,505.32738305551766,584.4709020522762
0,MPG-02,750,532.905667931343,504.88354930423435,583.9575558104691
0,MPG-02,760,532.4338262417316,504.4365187671311,583.4405121076604
0,MPG-02,770,531.9586103378385,503.98629144420784,582.9197709438502
0,MPG-02,780,531.4800202196637,503.5328673354646,582.3953323190383
0,MPG-02,790,530.9980558872073,503.0762464409013,581.8671962332247
0,MPG-02,800,530.5127173404693,502.61642876051803,581.3353626864097
0,MPG-02,810,530.0240045794495,502.1534142943148,580.799831678593
0,MPG-02,820,529.5319176041481,501.6872030422915,580.2606032097748
0,MPG-02,830,529.0364564145651,501.21779500444836,579.7176772799551
0,MPG-02,840,528.5376210107005,500.7451901807852,579.1710538891338
0,MPG-02,850,528.035411392554,500.26938857130193,578.6207330373107
0,MPG-02,860,527.529827560126,499.7903901759987,578.0667147244862
0,MPG-02,870,527.0208695134163,499.30819499487546,577.50899895066
0,MPG-02,880,526.508537252425,498.8228030279323,576.9475857158324
0,MPG-02,890,525.992830777152,498.3342142751691,576.382475020003
0,MPG-02,900,525.4737500875973,497.8424287365859,575.8136668631721
0,MPG-02,910,524.9512951837611,497.3474464121828,575.2411612453398
0,MPG-02,920,524.425466065643,496.8492673019596,574.6649581665057
0,MPG-02,930,523.8962627332434,496.3478914059164,574.08505762667
0,MPG-02,940,523.3636851865622,495.8433187240533,573.5014596258329
0,MPG-02,950,522.8277334255991,495.33554925637014,572.9141641639941
0,MPG-02,960,522.2884074503545,494.824583002867,572.3231712411537
0,MPG-02,970,521.7457072608282,494.31041996354384,571.7284808573118
0,MPG-02,980,521.1996328570203,493.79306013840073,571.1300930124683
0,MPG-02,990,520.6501842389308,493.27250352743766,570.5280077066233
0,MPG-02,1000,520.0973614065596,492.74875013065457,569.9222249397765
0,MPG-02,1010,519.5411643599066,492.2217999480514,569.3127447119282
0,MPG-02,1020,518.9815930989721,491.6916529796283,568.6995670230783
0,MPG-02,1030,518.4186476237559,491.15830922538527,568.082691873227
0,MPG-02,1040,517.8523279342579,490.62176868532214,567.4621192623739
0,MPG-02,1050,517.2826340304784,490.0820313594391,566.8378491905194
0,MPG-02,1060,516.7095659124172,489.53909724773604,566.2098816576631
0,MPG-02,1070,516.1331235800744,488.992966350213,565.5782166638054
0,MPG-02,1080,515.5533070334499,488.4436386668699,564.9428542089461
0,MPG-02,1090,514.9701162725437,487.8911141977068,564.303794293085
0,MPG-02,1100,514.3835512973559,487.3353929427238,563.6610369162225
0,MPG-02,1110,513.7936121078864,486.7764749019208,563.0145820783586
0,MPG-02,1120,513.2002987041353,486.21436007529775,562.3644297794929
0,MPG-02,1130,512.6036110861024,485.64904846285475,561.7105800196256
0,MPG-02,1140,512.003549253788,485.08054006459173,561.0530327987567
0,MPG-02,1150,511.40011320719185,484.5088348805087,560.3917881168863
0,MPG-02,1160,510.7933029463141,483.93393291060573,559.7268459740143
0,MPG-02,1170,510.1831184711546,483.3558341548827,559.0582063701407
0,MPG-02,1180,509.56955978171356,482.77453861333976,558.3858693052656
0,MPG-02,1190,508.95262687799084,482.19004628597685,557.7098347793889
0,MPG-02,1200,508.3323197599864,481.6023571727938,557.0301027925105
0,MPG-02,1210,507.7086384277003,481.01147127379085,556.3466733446306
